date,price
10-5-17,26.445
09-5-17,26.559
08-5-17,26.5675
05-5-17,26.5
04-5-17,26.475
03-5-17,26.495
02-5-17,26.5175
01-5-17,26.6345
28-4-17,26.545
27-4-17,26.545
26-4-17,26.57
25-4-17,26.6
24-4-17,26.645
21-4-17,26.705
20-4-17,26.745
19-4-17,26.755
18-4-17,26.835
17-4-17,26.851
14-4-17,26.8275
13-4-17,26.85
12-4-17,26.87
11-4-17,26.9
10-4-17,26.895
07-4-17,26.96
06-4-17,27.03
05-4-17,27.07
04-4-17,27.135
03-4-17,27
31-3-17,27.07
30-3-17,26.965
29-3-17,27.015
28-3-17,27.13
27-3-17,27.125
24-3-17,27.125
23-3-17,27.11
22-3-17,26.95
21-3-17,26.875
20-3-17,26.8875
17-3-17,26.9
16-3-17,26.975
15-3-17,26.875
14-3-17,26.895
13-3-17,26.915
10-3-17,26.75
09-3-17,26.865
08-3-17,27.0115
07-3-17,26.965
06-3-17,26.995
03-3-17,27.11
02-3-17,27.025
01-3-17,27.18
28-2-17,27.2
27-2-17,27.065
24-2-17,26.925
23-2-17,26.915
22-2-17,26.94
21-2-17,27.045
20-2-17,27.0025
17-2-17,27.035
16-2-17,27.015
15-2-17,27.235
14-2-17,27.15
13-2-17,27.44
10-2-17,27.23
09-2-17,27.06
08-2-17,26.935
07-2-17,27.005
06-2-17,27.15
03-2-17,27.2
02-2-17,26.9525
01-2-17,26.925
31-1-17,27.09
30-1-17,27.11
27-1-17,27.1905
26-1-17,27.18
25-1-17,27.2
24-1-17,27.24
23-1-17,27.35
20-1-17,27.375
19-1-17,27.425
18-1-17,27.55
17-1-17,27.6
16-1-17,27.74
13-1-17,27.6
12-1-17,27.28
11-1-17,27.235
10-1-17,27.15
09-1-17,26.8275
06-1-17,26.975
05-1-17,26.315
04-1-17,26.65
03-1-17,27.0705
02-1-17,27.1255
30-12-16,27.1
29-12-16,27.1
28-12-16,27.25
27-12-16,26.65
26-12-16,26.35
23-12-16,26.3
22-12-16,26.1975
21-12-16,26.405
20-12-16,26.425
19-12-16,26.27
16-12-16,26.235
15-12-16,26.35
14-12-16,26.345
13-12-16,26.1525
12-12-16,26.1
09-12-16,26.075
08-12-16,25.71
07-12-16,25.8
06-12-16,26.1
05-12-16,26.1
02-12-16,26
01-12-16,25.675
30-11-16,25.54
29-11-16,25.585
28-11-16,25.685
25-11-16,25.75
24-11-16,25.585
23-11-16,25.615
22-11-16,25.655
21-11-16,25.735
18-11-16,25.865
17-11-16,25.995
16-11-16,26.22
15-11-16,26.24
14-11-16,25.79
11-11-16,25.635
10-11-16,25.5725
09-11-16,25.56
08-11-16,25.565
07-11-16,25.565
04-11-16,25.575
03-11-16,25.605
02-11-16,25.545
01-11-16,25.58
31-10-16,25.515
28-10-16,25.48
27-10-16,25.515
26-10-16,25.555
25-10-16,25.665
24-10-16,25.65
21-10-16,25.6512
20-10-16,25.63
19-10-16,25.705
18-10-16,25.65
17-10-16,25.735
14-10-16,25.785
13-10-16,25.785
12-10-16,25.8
11-10-16,25.8
10-10-16,25.815
07-10-16,25.825
06-10-16,25.885
05-10-16,25.865
04-10-16,25.825
03-10-16,25.905
30-9-16,25.935
29-9-16,25.835
28-9-16,25.885
27-9-16,25.8
26-9-16,25.91
23-9-16,25.98
22-9-16,25.955
21-9-16,25.94
20-9-16,25.935
19-9-16,25.755
16-9-16,25.825
15-9-16,26.105
14-9-16,26.345
